incident_unique_id,lat_c,long_c,confidence
CA-LAC-170524|2001|1,,,
CA-MEU-05277|2001|1,,,
CA-MEU-6258|2001|1,,,
CA-MVU-6607|2001|1,32.811533,-116.883333,H
CA-NEU 19733|2001|1,,,
CA-ORC-44311|2001|1,33.345833,-117.508333,M
CA-RRU-067256|2001|1,,,
CA-RRU-57787|2001|1,,,
CA-SCU-03376|2001|1,,,
CA-SCU-3482|2001|1,,,
CA-SCU-4423|2001|1,,,
CA-SCU-4429|2001|1,,,
CA-SLU-3367|2001|1,,,
CA-TCU-005378|2001|1,,,
BTU 13309|2002|1,,,
CA-BDC-14267|2002|1,,,
CA-LNU-4575|2002|1,,,
CA-MMU-011097|2002|1,37.086111,-121.108056,H
CA-MVU-001494|2002|1,32.613173,-116.685833,M
CA-MVU-01316|2002|1,,,
CA-RRU-020299|2002|1,,,
CA-RRU-55729|2002|1,,,
CA-RRU-55745|2002|1,,,
CA-RRU-55755|2002|1,,,
CA-SCU-0003241|2002|1,,,
CA-SCU-003508|2002|1,,,
CA-SND-2011003|2002|1,,,
CA-SQF-1423|2002|1,,,
CA-TUU-0005598|2002|1,,,
CA-VNC-0204822|2002|1,,,
FL-FLS-D18-96|2002|1,,,
FL-FLS-MISC1|2002|1,,,
AL-ALS-2003-03|2003|1,,,L
CA-BDC-3906|2003|1,,,
CA-BDU-4544|2003|1,,,
CA-KRN-35857|2003|1,,,
CA-LAC-03003839|2003|1,34.062576,-118.745144,M
CA-LAC-0300429|2003|1,34.035,-118.835833,H
CA-MMU-008057|2003|1,,,
CA-MMU-9021|2003|1,,,
CA-MVU-00000|2003|1,,,
CA-MVU-5902|2003|1,,,
CA-RRU-051300|2003|1,,,
CA-RRU-75444|2003|1,,,
CA-SBC-5761|2003|1,,,
CA-SCU-001791|2003|1,,,
CA-SCU-002057|2003|1,37.077241,-121.701326,H
CA-SCU-2264|2003|1,,,
CA-TCU-6616|2003|1,,,
MI-HIF-003|2003|1,,,
OH-WAF-01|2003|1,,,
OR-UPF-000016|2003|1,,,
SD-PRA-258|2003|1,,,
WA-SES-257|2003|1,46.533056,-120.998889,L
WA-WFS-0004|2003|1,,,
WY-BTF-005|2003|1,,,
04-ALS-001|2004|1,,,L
CA-MVU-7603|2004|1,32.594279,-116.655418,M
CA-RRU-35190|2004|1,33.466667,-117.067778,H
CA-SCU-003485|2004|1,,,
CA-SCU-3081|2004|1,,,
CA-SMG-40807|2004|1,,,
CA-TUU-006924|2004|1,,,
AL-ALS-05YTD919|2005|1,,,L
CA-BDU-010450|2005|1,,,
CA-LNU-004149|2005|1,,,
CA-MCP-05-1345|2005|1,32.701284,-117.076187,H
CA-MRN-1810|2005|1,37.995556,-122.626389,L
CA-MSM-000001|2005|1,,,
CA-MVU-005758|2005|1,32.702575,-116.901448,H
CA-MVU-008488|2005|1,32.602868,-116.667923,L
CA-RRU-33134|2005|1,,,
CA-RRU-47513|2005|1,,,
CA-SLU-006983|2005|1,35.524343,-120.526055,M
MD-MDS-05-4015|2005|1,,,
MD-MDS-05-4016|2005|1,,,
MD-MDS-05-4017|2005|1,,,
MD-MDS-05-4018|2005|1,,,
MD-MDS-05-4019|2005|1,,,
MI-MIS-004|2005|1,,,
MI-MIS-005|2005|1,,,
MI-MIS-006|2005|1,,,
MI-MIS-007|2005|1,,,
MI-MIS-008|2005|1,,,
MI-MIS-009|2005|1,,,
MI-MIS-010|2005|1,,,
MI-MIS-011|2005|1,,,
MI-MIS-012|2005|1,,,
MI-MIS-013|2005|1,,,
MI-MIS-014|2005|1,,,
MI-MIS-015|2005|1,,,
MI-MIS-016|2005|1,,,
MI-MIS-017|2005|1,,,
MI-MIS-018|2005|1,,,
MI-MIS-019|2005|1,,,
MI-MIS-020|2005|1,,,
MI-MIS-021|2005|1,,,
MI-MIS-022|2005|1,,,
MS-GBR-00H|2005|1,,,
TX-TXS-006008|2005|1,,,
AR-BUP-000601|2006|1,,,L
CA-BDC-48105|2006|1,,,
CA-BDU-006942|2006|1,,,
CA-CZU-7213|2006|1,,,
CA-LPF-1140|2006|1,35.82055,-121.36706,L
CA-MVU-5394|2006|1,,,
CA-SKU-003583|2006|1,,,
CA-SND-FS06060435|2006|1,,,
MN-MNS-31420430|2006|1,,,
