incident_unique_id	cause	lat	long	lat_c	long_c	confidence	syear
MI-MIS-3|2003|1	Human	86.011111	-43.335556	43.360922	-86.107186	L	2003
ND-NDS-002|2003|1	Human	0	0	46.923338	-99.818415	L	2003
ND-NDS-003|2003|1	Human	0	0	47.052178	-101.235426	L	2003
OK-OKS-30076|2003|1	Human	0	0	35.506922	-94.690672	M	2003
TX-TXS-00004|2003|1	Human	0	0	34.920667	-101.140638	L	2003
04-ALS-002|2004|1	Human	0	0	30.655417	-87.623319	M	2004
04-ALS-003|2004|1	Human	0	0	31.762891	-87.170246	M	2004
04-ALS-004|2004|1	Human	0	0	33.311145	-85.893775	M	2004
04-ALS-005|2004|1	Human	0	0	33.805852	-85.473711	M	2004
04-ALS-006|2004|1	Human	0	0	31.399416	-87.131161	M	2004
04-ALS-007|2004|1	Human	0	0	31.4728959	-86.6246526	M	2004
04-ALS-008|2004|1	Human	0	0	32.50394	-85.202343	M	2004
04-ALS-009|2004|1	Human	0	0	31.4728959	-86.6246526	M	2004
04-ALS-010|2004|1	Human	0	0	32.0558782	-86.8981894	M	2004
04-ALS-011|2004|1	Human	0	0	32.4727137	-85.7375337	M	2004
04-ALS-012|2004|1	Human	0	0	31.3703007	-87.6240425	M	2004
04-ALS-013|2004|1	Human	0	0	33.1537597	-87.2557804	M	2004
04-ALS-014|2004|1	Human	0	0	32.08651	-87.3071945	M	2004
AZ-GCP-000002|2004|1	Human	0	0	36.054074	-112.13322	M	2004
CA-HUU-2685|2004|1	Human	40.016667	-124.058333	40.026461	-124.063131	H	2004
CA-MVU-5830|2004|1	Human	32.701667	-119.383611	32.678541	-116.291558	M	2004
CA-MVU-6422|2004|1	Human	33.344444	-0.8025	33.056	-116.8025	H	2004
KS-KSS-0293|2004|1	Human	0	0	39.394116	-96.414121	L	2004
KS-KSX-1331|2004|1	Human	0	0	37.056948	-99.695971	L	2004
MD-MDS-2004-4002|2004|1	Human	76.083333	-38.333333	38.333333	-76.083333	H	2004
MD-MDS-2004-4005|2004|1	Human	76.083333	-38.358333	38.358333	-76.083333	H	2004
MN-DNR-1210220|2004|1	Human	0	0	48.328857	-95.597896	L	2004
MN-MNS-31110035|2004|1	Human	0	0	47.796901	-95.622242	L	2004
MO-MOS-000022|2004|1	Human	0	0	37.851314	-92.930274	M	2004
MO-MOS-000066|2004|1	Human	0	0	0	0	NF	2004
MS-MSS-0057|2004|1	Human	0	0	31.649129	-90.371518	L	2004
MS-MSS-0058|2004|1	Human	0	0	32.9313	-89.646238		2004
NC-CLQ-043002|2004|1	Human	76.420833	-35.016667	35.016667	-76.420833	L	2004
ND-NDS-010|2004|1	Human	0	0	46.785974	-102.317112	L	2004
TN-TNS-D2S-003|2004|1	Human	0	0	36.480823	-84.031832	M	2004
TX-SRR-A5C8|2004|1	Human	26.416667	-99.926111	26.434331	-98.921645	H	2004
TX-TXS-04018|2004|2	Human	28.965278	-95.196667	29.982879	-95.196667	L	2004
AR-ARS-D3 BRADFORD|2005|1	Human	0	0	35.418006	-91.46546	H	2005
AR-ARS-D7208|2005|1	Human	92.388333	-35.843611	35.843611	-92.388333	H	2005
CA-BDC-18657|2005|1	Human	0	0	34.079395	-116.406905	H	2005
CA-CDD-7416|2005|1	Human	25.816667	-117.317222	35.816667	-117.317222	H	2005
CA-MRU-1654|2005|1	Human	37.851389	-122.4175	37.856285	-122.421765	H	2005
CA-MVU-002516|2005|1	Human	0	0	33.288693	-116.959315	M	2005
FL-FLS-2005-18-0048|2005|1	Human	24.6625	-81.271389	24.6625	-81.271389	H	2005
IL-ILS-001|2005|1	Human	0	0	42.441164	-87.814213	H	2005
MN-MNS-121047|2005|1	Human	0	0	48.842747	-96.42736	H	2005
