incident_unique_id,eyear,state,incidentnum,incidentname,emonth,eday,edoy,syear,smonth,sday,sdoy,area_km2,costs,fatalities,home.destroyed,home.threat,max.pers,max.aerial,tot.pers,tot.aerial,max.agency.support,cause,confidence,geometry
AK-SWS-304123|2013|1,2013,,AK-SWS-304123,Doestock Creek,6,28,179,2013,5,30,150,117.75957914000001,11011,0,0,0,0,0,0,0,0,Lightning,H,"c(-158.959167, 61.249722)"
AK-SWS-304131|2013|1,2013,,AK-SWS-304131,George River,6,20,171,2013,5,30,150,2.3674131,3185,0,0,0,0,0,0,0,0,Lightning,H,"c(-157.116667, 62.316667)"
AK-SWS-304135|2013|1,2013,,AK-SWS-304135,fISH 2,6,24,175,2013,5,31,151,44.515460000000004,17205,0,0,0,0,0,0,0,0,Lightning,H,"c(-160.643333, 61.158611)"
AK-SWS-304139|2013|1,2013,,AK-SWS-304139,Takotna River,6,23,174,2013,5,31,151,8.19084464,4326,0,0,0,0,0,0,0,0,Lightning,H,"c(-156.784167, 62.593333)"
AK-SWS-304140|2013|1,2013,,AK-SWS-304140,Moore Creek,8,30,241,2013,6,2,153,648.9342353000001,37e4,0,0,9,25,0,171,0,2,Lightning,H,"c(-155.82, 62.535833)"
AK-SWS-304143|2013|1,2013,,AK-SWS-304143,Gold Mine,6,24,175,2013,5,31,151,2.630459,388482,0,0,0,48,0,312,0,2,Lightning,H,"c(-156.608333, 62.983333)"
AK-SWS-304144|2013|1,2013,,AK-SWS-304144,Lime Hills,8,30,241,2013,5,31,151,1073.9435662199999,29e5,0,0,30,86,0,1142,0,3,Lightning,H,"c(-155.690556, 61.455278)"
AK-SWS-304157|2013|1,2013,,AK-SWS-304157,Julie Creek,6,24,175,2013,6,1,152,2.8530363,202725,0,0,0,32,0,102,0,1,Lightning,H,"c(-158.226111, 62.544444)"
AK-SWS-304275|2013|1,2013,,AK-SWS-304275,Kristin Creek,7,30,204,2013,6,18,169,81.07479324,177619,0,0,2,12,0,60,0,2,Lightning,H,"c(-154.188889, 61.042222)"
AK-SWS-304287|2013|1,2013,,AK-SWS-304287,Jungjuk,6,24,175,2013,6,19,170,0.03237488,49370,0,0,0,0,0,0,0,0,Lightning,H,"c(-158.225556, 61.777778)"
AK-SWS-304288|2013|1,2013,,AK-SWS-304288,Qguohaydok,6,28,179,2013,6,19,170,0.3642174,877424,0,0,1,59,0,377,0,3,Lightning,H,"c(-158.280278, 61.793611)"
AK-SWS-304289|2013|1,2013,,AK-SWS-304289,Village Creek,6,30,181,2013,6,19,170,0.5260918,656991,0,0,0,50,0,272,0,3,Lightning,H,"c(-158.314722, 61.8)"
AK-SWS-304361|2013|1,2013,,AK-SWS-304361,Moose Creek,6,29,180,2013,6,22,173,0.07689034,169768,0,0,0,22,0,125,0,1,Lightning,H,"c(-156.485278, 61.839722)"
AK-SWS-304379|2013|1,2013,,AK-SWS-304379,Von Frank,7,28,199,2013,6,24,175,1.6106502799999998,6800,0,0,0,0,0,0,0,0,Lightning,H,"c(-154.353889, 63.528056)"
AK-SWS-304437|2013|1,2013,,AK-SWS-304437,Currant Creek,8,30,240,2013,6,27,178,688.10379324,2e5,0,0,0,0,0,0,0,0,Lightning,H,"c(-153.915278, 60.276111)"
AK-SWS-304443|2013|1,2013,,AK-SWS-304443,Hoholitna,7,30,204,2013,6,26,177,66.55304081599999,751682,0,0,3,37,0,138,0,3,Lightning,H,"c(-156.889167, 61.455)"
AK-SWS-304591|2013|1,2013,,AK-SWS-304591,Can Creek,8,31,240,2013,7,28,209,27.029382626,730205,0,0,28,43,0,298,0,2,Lightning,H,"c(-155.234444, 61.281389)"
AK-SWS-304596|2013|1,2013,,AK-SWS-304596,Whitefish Lake,8,29,241,2013,7,28,209,17.81023086,6266,0,0,0,0,0,0,0,0,Lightning,H,"c(-154.989167, 60.985278)"
AK-SWS-304597|2013|1,2013,,AK-SWS-304597,Mulchatna River,8,15,227,2013,7,28,209,0.7891377,5968,0,0,0,0,0,0,0,0,Lightning,H,"c(-155.099444, 60.734444)"
AK-SWS-304599|2013|1,2013,,AK-SWS-304599,Nuyakuk River,8,15,227,2013,7,28,209,7.86304898,7e3,0,0,0,0,0,0,0,0,Lightning,H,"c(-157.593889, 60.001389)"
AK-SWS-304617|2013|1,2013,,AK-SWS-304617,Gagaryah 2,8,15,227,2013,7,30,211,19.153788379999998,3231,0,0,0,0,0,0,0,0,Lightning,H,"c(-155.34, 61.64)"
AK-TAD-000149|2013|1,2013,,AK-TAD-000149,North Swift Fork,6,11,162,2013,6,1,152,3.2148255839999997,5441.4,0,0,0,0,0,0,0,0,Lightning,H,"c(-152.158889, 63.003889)"
AK-TAD-000308|2013|1,2013,,AK-TAD-000308,Big Salt,7,27,207,2013,6,20,171,15.476002011999999,5e3,0,0,0,0,0,0,0,0,Lightning,H,"c(-150.833333, 65.833333)"
AK-TAD-000315|2013|1,2013,,AK-TAD-000315,Ray River 2,8,28,240,2013,6,20,171,88.414987908,2500,0,0,0,0,0,0,0,0,Lightning,H,"c(-150.819167, 66.082778)"
AK-TAD-000319|2013|1,2013,,AK-TAD-000319,Kanuti River 1,7,27,208,2013,6,24,175,7.379044524,1e3,0,0,0,0,0,0,0,0,Lightning,H,"c(-150.951111, 66.346111)"
AK-TAD-000328|2013|1,2013,,AK-TAD-000328,Timber Creek,8,28,240,2013,6,20,171,13.2534665,19186,0,0,0,0,0,0,0,0,Lightning,H,"c(-151.785, 67.215278)"
AK-TAD-000332|2013|1,2013,,AK-TAD-000332,Prospect Creek,9,28,246,2013,6,20,171,259.31671851,98377,0,0,0,2,0,4,0,1,Lightning,H,"c(-150.946389, 66.808889)"
AK-TAD-000342|2013|1,2013,,AK-TAD-000342,Sulatna River,8,28,240,2013,6,21,172,192.58197368,7e3,0,0,0,0,0,0,0,0,Lightning,H,"c(-154.5, 64.5)"
